,experimento,api,media,mediana,desvio_padrao,media_aparada,taxa_resposta,taxa_acerto
0,geoGoldSPexp1,MapBox,9.885009168419105,0.2647446800467124,33.92958094519036,5.545752960117355,0.975,0.4178
1,geoGoldSPexp1,Google,4.084331292828603,0.1368536107439721,10.741414860270993,2.5543113258580883,0.9988,0.508
2,geoGoldSPexp1,TomTom,36.12117749775783,0.1081943529153692,249.5941262990921,3.94023413870478,0.8548,0.4494
3,geoGoldSPexp1,OpenRouteService,8.016762689971896,0.3466477559117156,16.97895780352052,6.323176631589832,0.9986,0.2894
4,geoGoldSPexp2,MapBox,13.914447136410482,0.4814392656873602,36.79815573168347,8.848430412231261,0.9778,0.3704
5,geoGoldSPexp2,Google,6.290935841450355,0.1749199139028265,21.319549287615413,4.575343615556123,0.9986,0.4854
6,geoGoldSPexp2,TomTom,36.597576774924384,0.1081943529153692,250.1808813503159,3.8182155349931337,0.8552,0.4496
7,geoGoldSPexp2,OpenRouteService,149.08936336124245,23.343768308818557,368.64652038122466,80.84736247114043,0.995,0.053
8,geoGoldSPexp3,MapBox,9.059893338789013,0.2873228699089092,28.821269887543508,5.833965799831826,0.9784,0.409
9,geoGoldSPexp3,Google,9.891182115504577,0.1771187906161175,66.38080915199929,4.808587035732725,0.9988,0.4842
10,geoGoldSPexp3,TomTom,15.477097458468092,0.1081943529153692,105.0331514430684,3.638018149258568,0.8552,0.4502
11,geoGoldSPexp3,OpenRouteService,111.72838254278626,16.604444355847264,356.4682988678387,45.451289931536074,0.99,0.1494
12,geoGoldSPexp4,MapBox,12.99898853650045,0.2873228699089092,46.74339626113539,6.338832395408142,0.992,0.4126
13,geoGoldSPexp4,Google,7.252603599584596,0.1771187906161175,23.23572576455891,5.26285458902813,0.9988,0.4842
14,geoGoldSPexp4,TomTom,36.121296788029746,0.1082777110041291,249.59410909914146,3.9403665990835397,0.8548,0.449
15,geoGoldSPexp4,OpenRouteService,22.615834397822347,23.02268081147546,9.940436112799977,22.497669923175092,0.9988,0.0014
16,geoGoldSPexp5,MapBox,13.102778673835047,0.2873228699089092,54.30539948405979,6.4211160687004885,0.98,0.401
17,geoGoldSPexp5,Google,6.65788987345028,0.1835977532551387,24.621577411498127,4.687355247873061,0.999,0.48
18,geoGoldSPexp5,TomTom,13.224068217911165,0.1070508217863421,84.52256850033066,3.5954582547896847,0.8414,0.444
19,geoGoldSPexp5,OpenRouteService,19.78286358072989,19.499380794824106,23.891961570632482,18.967053495420277,0.9996,0.0104
